,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
192,2.10,51.00,3.18,0.78,228.00,4.15,37.79,-122.25,0.75
193,1.60,39.00,3.75,1.05,381.00,3.10,37.79,-122.25,1.13
194,3.63,52.00,3.97,1.04,846.00,3.73,37.79,-122.25,1.25
195,1.69,20.00,3.51,1.15,1659.00,2.45,37.80,-122.26,1.15
196,1.65,52.00,2.83,0.93,520.00,3.77,37.77,-122.22,0.95
197,2.59,52.00,4.39,1.16,866.00,3.34,37.77,-122.22,0.96
198,2.57,52.00,4.20,1.13,612.00,3.34,37.77,-122.23,0.72
199,2.64,52.00,3.75,1.16,415.00,3.29,37.78,-122.23,0.71
200,3.03,52.00,4.05,1.01,994.00,4.67,37.78,-122.23,0.81
201,1.49,50.00,4.03,1.11,1525.00,3.20,37.78,-122.22,1.29
202,1.93,43.00,3.24,1.08,1506.00,3.44,37.78,-122.23,1.13
203,1.48,52.00,3.87,1.01,1008.00,3.95,37.78,-122.23,1.19
204,1.60,44.00,3.12,1.10,2813.00,3.75,37.78,-122.23,1.18
205,2.04,48.00,4.95,1.16,1481.00,4.32,37.79,-122.23,1.23
206,2.29,49.00,5.37,0.99,859.00,3.92,37.79,-122.23,1.06
207,2.15,37.00,4.48,1.10,1608.00,3.08,37.79,-122.22,1.33
208,1.62,30.00,4.36,1.04,425.00,3.04,37.79,-122.23,1.23
209,1.33,40.00,5.05,1.08,564.00,3.07,37.79,-122.23,1.13
210,3.52,44.00,5.47,1.15,961.00,3.53,37.79,-122.22,1.10
211,3.91,52.00,5.00,1.01,2273.00,3.32,37.79,-122.22,1.65
212,3.09,52.00,3.91,0.97,600.00,3.08,37.79,-122.21,1.25
213,2.60,46.00,4.49,1.09,1647.00,3.13,37.79,-122.22,1.25
214,2.50,49.00,4.31,1.06,1201.00,2.83,37.79,-122.22,1.37
215,2.80,38.00,4.63,1.08,2167.00,3.29,37.79,-122.22,1.42
216,2.83,29.00,4.82,1.11,939.00,2.76,37.79,-122.20,1.50
217,2.96,47.00,5.28,1.05,859.00,2.94,37.79,-122.21,1.39
218,2.84,34.00,4.58,1.08,1517.00,2.94,37.79,-122.21,1.39
219,2.88,35.00,4.52,1.06,1143.00,2.96,37.79,-122.21,1.44
220,3.07,39.00,4.32,1.08,1109.00,2.39,37.80,-122.21,1.57
221,3.08,39.00,4.53,1.00,1221.00,2.74,37.80,-122.21,1.51
222,4.96,43.00,6.69,1.10,1115.00,2.45,37.80,-122.20,2.73
223,4.77,52.00,5.77,1.09,706.00,2.63,37.80,-122.20,2.17
224,3.49,52.00,4.98,1.01,1883.00,2.67,37.80,-122.21,1.87
225,5.12,41.00,6.09,1.04,804.00,2.37,37.80,-122.20,2.40
226,4.10,48.00,5.24,1.04,506.00,2.01,37.80,-122.21,2.30
227,4.74,48.00,7.12,1.09,610.00,2.56,37.80,-122.19,2.57
228,4.27,46.00,5.84,1.03,768.00,2.31,37.80,-122.19,2.47
229,2.98,50.00,5.26,1.06,462.00,2.51,37.79,-122.19,1.80
230,4.17,40.00,4.51,1.09,667.00,2.84,37.79,-122.20,1.70
231,3.85,46.00,5.12,1.02,1059.00,2.65,37.80,-122.20,2.03
232,4.01,52.00,6.55,0.98,637.00,2.30,37.80,-122.19,2.63
233,4.66,45.00,5.99,0.99,1106.00,2.44,37.79,-122.19,2.32
234,2.93,28.00,4.70,1.14,1737.00,2.60,37.79,-122.19,1.41
235,2.30,35.00,4.62,1.18,1009.00,2.59,37.79,-122.20,1.26
236,2.67,49.00,4.20,0.93,737.00,3.51,37.79,-122.20,1.22
237,2.62,44.00,3.30,0.92,1354.00,2.76,37.79,-122.20,1.35
238,2.42,45.00,4.46,1.12,1530.00,3.23,37.79,-122.21,1.39
239,2.78,45.00,4.21,1.10,1410.00,2.94,37.79,-122.20,1.15
240,2.74,46.00,3.94,0.89,1390.00,2.44,37.78,-122.21,1.37
241,1.85,52.00,5.49,1.12,1065.00,3.96,37.78,-122.21,1.37
242,2.66,52.00,4.31,0.91,792.00,3.23,37.78,-122.21,1.43
243,3.05,49.00,3.67,1.00,779.00,3.18,37.78,-122.21,1.38
244,2.39,44.00,4.87,1.16,2269.00,3.72,37.78,-122.22,1.12
245,1.72,43.00,4.18,1.13,1227.00,3.02,37.78,-122.21,1.27
246,2.63,47.00,3.66,1.03,753.00,3.12,37.78,-122.21,1.11
247,2.80,40.00,3.66,0.84,547.00,4.05,37.77,-122.22,1.15
248,1.73,50.00,4.04,1.08,1807.00,4.11,37.78,-122.22,1.02
249,2.08,44.00,3.39,1.04,1700.00,3.43,37.78,-122.22,1.32
250,2.49,51.00,4.17,1.18,1543.00,3.93,37.78,-122.22,1.19
251,1.76,52.00,4.73,1.05,1085.00,3.62,37.76,-122.21,0.81
252,4.09,52.00,4.31,1.26,353.00,2.58,37.77,-122.21,0.81
253,2.68,52.00,5.00,1.03,473.00,3.17,37.77,-122.21,0.89
254,2.43,49.00,4.70,1.03,1621.00,3.36,37.77,-122.20,1.02
255,2.33,46.00,3.49,1.06,1183.00,3.34,37.77,-122.21,0.99
256,2.26,43.00,3.67,1.18,836.00,3.02,37.77,-122.21,1.00
257,1.80,42.00,3.54,0.97,900.00,3.42,37.77,-122.19,0.92
258,2.26,39.00,5.01,1.11,1888.00,3.52,37.77,-122.20,0.95
259,2.06,41.00,4.54,1.22,1024.00,3.00,37.77,-122.20,1.02
260,3.54,52.00,5.44,1.05,1225.00,2.90,37.78,-122.20,1.58
261,3.12,39.00,4.66,1.06,1071.00,2.85,37.78,-122.20,1.22
262,2.54,50.00,4.94,1.07,1128.00,2.98,37.78,-122.20,1.29
263,2.90,43.00,5.02,1.04,1537.00,3.18,37.77,-122.20,1.21
264,2.31,44.00,4.40,1.05,1240.00,3.16,37.78,-122.21,1.03
265,2.88,52.00,6.11,1.07,469.00,2.79,37.78,-122.19,1.60
266,3.37,52.00,5.11,1.01,1086.00,2.56,37.77,-122.19,1.44
267,3.51,52.00,5.59,1.07,1144.00,2.74,37.77,-122.19,1.51
268,4.31,52.00,6.65,1.11,1109.00,2.96,37.78,-122.19,1.64
269,3.22,52.00,5.96,1.08,984.00,2.67,37.78,-122.19,1.57
270,3.88,33.00,3.02,0.66,575.00,12.23,37.78,-122.18,2.25
271,5.23,49.00,5.66,0.98,496.00,2.37,37.78,-122.19,1.74
272,3.73,52.00,5.63,1.02,555.00,2.92,37.78,-122.19,1.67
273,4.59,45.00,5.40,1.02,869.00,2.66,37.78,-122.20,1.64
274,5.26,39.00,5.82,0.90,236.00,2.23,37.79,-122.18,2.53
275,7.09,41.00,6.59,1.09,626.00,2.93,37.79,-122.18,2.41
276,3.97,46.00,6.41,1.18,922.00,2.80,37.79,-122.18,2.08
277,2.95,47.00,4.80,0.95,582.00,2.27,37.79,-122.19,1.98
278,2.67,50.00,4.75,1.08,546.00,2.72,37.79,-122.19,1.73
279,5.45,37.00,6.18,0.99,620.00,2.33,37.81,-122.18,3.37
280,6.28,34.00,6.95,1.00,442.00,2.27,37.80,-122.18,3.18
281,6.75,23.00,7.06,1.02,955.00,2.91,37.80,-122.18,2.86
282,7.07,24.00,7.59,0.98,916.00,2.83,37.77,-122.13,2.93
283,5.99,22.00,6.53,1.04,4985.00,2.53,37.79,-122.16,3.71
284,3.69,42.00,5.71,0.97,651.00,2.44,37.78,-122.17,1.57
285,2.88,30.00,4.73,1.06,1704.00,2.42,37.77,-122.17,1.35
286,3.42,43.00,4.88,1.08,1085.00,2.67,37.78,-122.18,1.37
287,3.30,50.00,5.78,1.13,713.00,2.51,37.78,-122.18,1.61
288,3.88,49.00,4.93,0.98,468.00,2.59,37.78,-122.17,1.41
289,4.18,52.00,5.40,1.06,296.00,2.45,37.78,-122.17,1.44
290,4.38,47.00,5.76,1.00,570.00,2.62,37.77,-122.16,1.62
291,4.77,48.00,5.43,1.08,446.00,2.48,37.77,-122.16,1.56
292,3.57,45.00,6.05,1.03,968.00,2.52,37.77,-122.16,1.76
293,3.10,39.00,5.01,1.10,857.00,2.71,37.77,-122.16,1.46
294,3.40,39.00,5.01,1.06,912.00,2.83,37.77,-122.17,1.42
295,1.87,31.00,5.36,1.18,1360.00,3.01,37.77,-122.17,0.91
296,1.94,41.00,4.49,1.03,1074.00,3.03,37.76,-122.17,0.91
297,2.18,47.00,5.55,1.08,965.00,2.53,37.76,-122.17,1.08
298,2.29,37.00,4.92,1.12,933.00,2.92,37.76,-122.18,1.07
299,2.43,38.00,4.98,1.12,987.00,2.79,37.76,-122.17,0.98
300,1.95,50.00,4.83,1.06,907.00,3.69,37.76,-122.18,0.90
301,3.91,52.00,4.57,1.06,447.00,2.71,37.76,-122.18,0.94
302,1.84,49.00,5.12,1.00,1299.00,2.88,37.76,-122.18,0.97
303,2.08,27.00,5.79,1.50,396.00,2.52,37.77,-122.18,0.98
304,2.81,42.00,4.40,0.96,877.00,3.27,37.77,-122.18,0.97
305,1.89,43.00,5.50,1.11,1111.00,3.03,37.76,-122.18,0.91
306,1.71,49.00,5.09,1.05,790.00,2.94,37.76,-122.19,0.91
307,2.28,52.00,4.95,0.99,1479.00,2.67,37.77,-122.18,0.96
308,3.26,51.00,4.81,1.08,1173.00,2.68,37.77,-122.18,1.20
309,2.06,52.00,4.78,0.99,1029.00,2.81,37.77,-122.18,1.00
310,2.47,52.00,5.78,1.12,1030.00,2.94,37.76,-122.19,0.95
311,1.75,47.00,4.00,0.93,826.00,2.96,37.76,-122.20,0.86
312,2.05,41.00,4.49,1.12,1412.00,3.11,37.77,-122.19,0.89
313,2.72,45.00,5.31,1.13,1132.00,3.24,37.77,-122.19,1.01
314,1.21,41.00,5.79,1.30,522.00,3.28,37.76,-122.19,0.73
315,1.93,45.00,4.20,1.00,630.00,2.66,37.76,-122.19,0.74
316,1.58,36.00,4.56,0.99,531.00,3.99,37.75,-122.20,0.70
317,1.41,37.00,4.02,1.10,1925.00,2.89,37.76,-122.20,0.85
318,0.77,38.00,4.25,1.05,1144.00,3.26,37.76,-122.19,0.82
319,1.32,19.00,4.24,1.09,1481.00,2.85,37.75,-122.19,0.81
320,0.80,28.00,5.28,1.17,435.00,2.69,37.75,-122.19,0.82
321,1.95,26.00,4.27,0.98,984.00,3.25,37.76,-122.19,0.86
322,1.18,36.00,5.33,1.33,567.00,3.57,37.74,-122.19,0.87
323,2.35,42.00,4.40,1.25,380.00,3.09,37.74,-122.18,0.84
324,2.15,44.00,4.37,1.04,825.00,3.38,37.73,-122.19,0.80
325,2.51,43.00,4.56,0.95,417.00,2.69,37.74,-122.19,0.83
326,1.26,45.00,5.32,1.01,801.00,2.79,37.73,-122.19,0.85
327,2.91,42.00,4.59,1.09,646.00,3.26,37.73,-122.18,0.80
328,2.52,43.00,4.88,1.03,855.00,3.00,37.73,-122.18,0.76
329,2.11,44.00,4.03,0.88,435.00,3.20,37.73,-122.18,0.80
330,2.46,42.00,5.22,1.12,2736.00,3.51,37.73,-122.18,0.82
331,2.40,41.00,3.90,1.08,1481.00,3.58,37.74,-122.17,0.98
332,2.15,47.00,3.38,0.98,327.00,2.39,37.74,-122.17,0.97
333,2.48,43.00,4.57,1.08,494.00,2.76,37.74,-122.17,1.02
334,2.16,43.00,4.32,1.09,1231.00,3.61,37.73,-122.17,0.87
335,1.84,35.00,4.62,1.16,323.00,2.96,37.74,-122.18,0.91
336,3.03,46.00,4.56,1.00,749.00,3.33,37.74,-122.17,1.08
337,2.25,46.00,4.32,1.03,693.00,3.89,37.74,-122.17,0.84
338,2.25,46.00,5.94,1.11,1339.00,3.78,37.74,-122.18,0.89
339,4.05,45.00,4.13,0.95,282.00,3.53,37.75,-122.18,0.81
340,1.33,46.00,4.83,1.12,621.00,3.19,37.75,-122.18,0.87
341,1.62,38.00,3.83,1.08,732.00,2.83,37.75,-122.17,0.85
342,2.17,45.00,3.81,1.00,901.00,3.47,37.75,-122.18,0.82
343,1.92,36.00,7.51,1.75,482.00,3.21,37.75,-122.19,0.83
344,2.07,43.00,4.86,1.09,652.00,3.06,37.75,-122.18,0.85
345,1.71,36.00,6.31,1.29,651.00,3.92,37.75,-122.18,0.82
346,2.56,33.00,4.48,1.07,999.00,3.49,37.76,-122.17,0.89
347,1.98,43.00,5.19,1.05,907.00,2.96,37.75,-122.17,0.98
348,2.50,41.00,5.47,1.18,828.00,3.60,37.75,-122.17,0.92
349,2.33,44.00,4.80,0.98,763.00,3.00,37.75,-122.17,0.89
350,1.44,48.00,5.02,1.12,935.00,2.68,37.75,-122.17,0.90
351,2.51,45.00,4.75,1.06,1437.00,2.97,37.76,-122.16,0.96
